Geolocation,2015,2018
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,59.4,61.8
CAR: Cordillera Administrative Region,22.7,12.0
CARAGA: CARAGA Administrative Region,39.7,30.5
MIMAROPA: Southwestern Tagalog Region,25.2,15.1
NCR: National Capital Region,4.1,2.2
Region 10: Northern Mindanao,38.7,23.1
Region 11: Davao Region,23.5,19.1
Region 12: SOCCSKSARGEN,38.1,28.2
Region 1: Ilocos Region,18.8,9.9
Region 2: Cagayan Valley,17.8,16.3
Region 3: Central Luzon,10.5,7.0
Region 4A: CALABARZON,12.5,7.1
Region 5: Bicol Region,39.8,27.0
Region 6: Western Visayas,24.6,16.3
Region 7: Central Visayas,29.4,17.7
Region 8: Eastern Visayas,41.3,30.7
Region 9: Zamboanga Peninsula,37.7,32.7
