Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,86.19,79.89,88.29,85.92,85.84,84.63,81.84,89.44,95.37,70.14,96.66,102.23,91.89,88.47,77.77,72.92,73.86,69.51,70.19,68.42,66.1032
CAR: Cordillera Administrative Region,94.26,91.96,90.53,88.36,85.52,81.75,80.19,81.01,81.69,98.84,96.73,99.96,99.56,99.85,100.27,99.42,97.94,95.13,93.45,92.25,88.5518
CARAGA: CARAGA Administrative Region,92.49,82.55,80.17,77.85,74.61,74.49,77.96,80.82,76.71,93.56,96.58,95.05,95.18,97.02,98.49,99.56,99.0,96.69,95.76,95.46,92.8585
MIMAROPA: Southwestern Tagalog Region,,,91.34,88.74,87.1,83.55,82.98,83.28,84.96,88.16,93.92,97.26,96.44,95.71,95.48,96.42,95.07,92.24,90.88,89.79,85.8247
NCR: National Capital Region,100.13,96.57,96.52,95.81,93.75,91.65,92.0,93.21,92.71,89.98,95.2,97.97,97.87,98.77,98.13,98.8,95.3,92.2,91.85,89.43,80.6316
Region 10: Northern Mindanao,95.98,92.92,88.59,85.96,83.39,79.36,78.01,79.66,80.65,90.91,91.57,94.05,94.47,94.18,94.73,95.43,97.58,97.15,98.93,100.1,97.9734
Region 11: Davao Region,93.42,83.76,83.97,83.03,81.17,77.71,74.79,76.44,77.42,92.19,99.18,99.86,98.35,100.44,99.41,101.04,99.92,96.59,95.47,93.15,85.4676
Region 12: SOCCSKSARGEN,96.33,85.74,80.89,79.8,78.34,75.77,74.93,77.4,79.08,82.51,86.84,89.43,89.12,89.64,92.29,93.47,93.07,91.44,91.98,91.82,88.3066
Region 1: Ilocos Region,98.41,91.44,89.89,88.65,86.96,84.8,82.89,83.3,83.14,92.51,97.53,98.13,97.47,97.54,98.25,97.18,95.5,93.13,91.26,90.35,86.6105
Region 2: Cagayan Valley,95.57,88.99,86.24,85.2,82.47,79.52,77.39,77.19,76.14,94.45,94.31,96.32,97.87,100.0,101.04,102.5,100.68,98.73,97.32,97.31,94.053
Region 3: Central Luzon,98.77,86.21,93.3,93.29,91.76,90.38,88.82,91.01,90.86,90.21,96.8,98.26,97.86,98.83,99.36,98.66,98.62,97.95,99.2,100.02,95.4649
Region 4A: CALABARZON,97.98,92.96,95.43,94.73,94.6,92.22,91.8,93.45,93.67,86.44,92.76,95.58,96.61,95.48,96.67,95.9,96.94,96.04,97.34,97.87,91.5134
Region 5: Bicol Region,95.8,90.83,90.0,88.29,86.71,84.3,82.82,84.57,84.5,91.77,96.44,98.75,98.56,98.67,98.34,96.75,96.38,94.13,93.82,93.09,87.6157
Region 6: Western Visayas,96.28,88.85,85.24,82.6,79.88,76.53,74.45,75.0,74.81,85.9,92.0,94.91,96.06,97.56,98.64,99.27,99.72,97.64,98.24,97.74,94.3939
Region 7: Central Visayas,97.17,88.01,87.54,84.9,82.88,79.37,78.28,79.68,81.29,89.2,94.23,97.32,99.07,100.59,101.32,102.01,101.69,98.47,98.62,98.08,92.999
Region 8: Eastern Visayas,93.67,85.61,84.54,81.99,81.53,78.22,76.48,77.86,79.46,88.72,93.91,95.55,95.69,95.49,95.82,94.81,94.19,92.76,91.82,91.44,89.1237
Region 9: Zamboanga Peninsula,93.06,89.93,89.43,84.02,81.94,78.3,76.78,78.37,78.87,90.45,92.83,96.18,94.41,91.41,94.04,92.78,91.56,90.21,91.25,91.22,88.706
