Geolocation,2016,2017,2018,2019,2020,2021
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,583.0,444.0,372.0,373.0,401.0,373.0
CAR: Cordillera Administrative Region,180.0,60.0,71.0,86.0,65.0,49.0
CARAGA: CARAGA Administrative Region,424.0,335.0,286.0,228.0,221.0,217.0
MIMAROPA: Southwestern Tagalog Region,219.0,162.0,161.0,129.0,120.0,108.0
NCR: National Capital Region,2318.0,1543.0,733.0,630.0,658.0,496.0
Region 10: Northern Mindanao,768.0,441.0,365.0,357.0,253.0,285.0
Region 11: Davao Region,804.0,740.0,543.0,462.0,363.0,356.0
Region 12: SOCCSKSARGEN,651.0,366.0,268.0,255.0,187.0,201.0
Region 1: Ilocos Region,560.0,322.0,230.0,185.0,154.0,148.0
Region 2: Cagayan Valley,321.0,262.0,209.0,167.0,117.0,102.0
Region 3: Central Luzon,1110.0,718.0,443.0,424.0,301.0,315.0
Region 4A: CALABARZON,1628.0,1371.0,977.0,829.0,641.0,676.0
Region 5: Bicol Region,473.0,414.0,408.0,300.0,276.0,227.0
Region 6: Western Visayas,542.0,479.0,447.0,428.0,432.0,386.0
Region 7: Central Visayas,788.0,622.0,710.0,615.0,467.0,407.0
Region 8: Eastern Visayas,466.0,369.0,315.0,317.0,291.0,263.0
Region 9: Zamboanga Peninsula,582.0,361.0,339.0,288.0,223.0,236.0
