Geolocation,2003,2008,2013,2017
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,51.0,71.0,56.0,47.0
CAR: Cordillera Administrative Region,52.0,34.0,53.0,25.0
CARAGA: CARAGA Administrative Region,85.0,83.0,87.0,61.0
MIMAROPA: Southwestern Tagalog Region,108.0,87.0,68.0,47.0
NCR: National Capital Region,35.0,25.0,48.0,27.0
Region 10: Northern Mindanao,56.0,43.0,62.0,81.0
Region 11: Davao Region,42.0,68.0,54.0,87.0
Region 12: SOCCSKSARGEN,90.0,64.0,58.0,91.0
Region 1: Ilocos Region,55.0,52.0,78.0,46.0
Region 2: Cagayan Valley,85.0,54.0,65.0,51.0
Region 3: Central Luzon,42.0,69.0,63.0,61.0
Region 4A: CALABARZON,44.0,63.0,58.0,37.0
Region 5: Bicol Region,60.0,63.0,59.0,36.0
Region 6: Western Visayas,57.0,41.0,58.0,38.0
Region 7: Central Visayas,45.0,58.0,49.0,47.0
Region 8: Eastern Visayas,48.0,60.0,50.0,50.0
Region 9: Zamboanga Peninsula,82.0,62.0,43.0,54.0
