Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,91.28,83.68,92.72,90.13,90.01,87.26,85.82,94.01,99.85,74.21,103.25,108.07,96.72,92.86,81.54,76.51,77.29,72.63,73.24,71.51,69.1673
CAR: Cordillera Administrative Region,94.42,92.89,91.52,89.19,86.4,82.58,80.86,81.5,81.93,99.51,97.64,100.8,100.0,99.66,100.16,99.19,97.24,94.37,92.24,91.4,87.5276
CARAGA: CARAGA Administrative Region,92.92,83.12,80.73,78.04,75.08,74.8,77.76,81.46,76.14,93.86,96.95,95.55,95.49,96.86,98.1,98.85,97.85,95.89,94.74,94.84,92.0358
MIMAROPA: Southwestern Tagalog Region,,,91.52,89.42,88.0,84.39,83.84,84.07,85.42,88.76,95.04,97.89,96.78,95.77,95.58,96.56,94.98,92.33,90.99,90.26,86.2074
NCR: National Capital Region,101.0,97.82,97.38,96.81,94.82,92.61,92.89,94.42,93.69,90.96,96.9,99.69,99.22,99.64,99.01,99.85,95.92,92.83,92.11,89.91,81.1478
Region 10: Northern Mindanao,95.6,93.58,89.04,86.92,84.16,80.2,78.96,80.6,81.23,91.91,92.74,94.84,94.42,94.0,94.31,94.79,96.57,96.43,97.73,99.23,97.0819
Region 11: Davao Region,93.89,84.7,84.96,84.36,82.54,79.01,75.89,77.38,78.0,93.26,99.37,100.53,98.92,100.65,99.78,101.34,100.06,96.88,95.61,93.87,86.266
Region 12: SOCCSKSARGEN,97.34,86.78,82.01,81.18,79.99,77.43,76.35,78.65,80.12,84.55,88.65,90.95,90.23,90.52,92.95,93.78,93.3,91.86,92.04,92.24,88.7282
Region 1: Ilocos Region,97.73,91.33,89.64,88.52,86.98,84.87,82.74,83.14,82.85,93.24,98.32,98.69,97.56,97.39,97.84,96.78,94.84,92.5,90.48,89.99,86.2185
Region 2: Cagayan Valley,95.65,89.45,86.71,85.65,82.9,79.92,77.7,77.53,76.23,95.58,95.34,97.31,98.4,100.08,101.15,102.42,100.26,98.45,96.86,97.17,93.6348
Region 3: Central Luzon,98.32,86.35,93.58,93.61,92.03,90.77,89.14,91.37,90.93,90.99,98.04,99.21,98.46,99.03,99.56,98.84,98.53,97.91,98.77,100.03,95.4067
Region 4A: CALABARZON,98.5,93.44,95.97,95.33,95.1,92.87,92.36,94.02,94.1,87.43,93.94,96.58,97.29,96.09,97.09,96.36,97.2,96.31,97.36,98.23,91.9912
Region 5: Bicol Region,95.56,91.77,90.95,89.3,87.78,85.43,83.8,85.41,85.07,92.63,97.19,99.11,98.6,98.53,98.25,96.41,95.77,93.56,93.12,92.68,87.2573
Region 6: Western Visayas,96.16,89.6,85.95,83.25,80.49,77.14,74.96,75.44,74.93,86.99,93.38,95.82,96.5,97.71,98.47,98.89,99.09,97.16,97.38,97.25,93.9281
Region 7: Central Visayas,98.6,88.56,88.09,85.57,83.53,80.08,78.87,80.28,81.38,90.87,95.48,98.5,99.79,100.97,101.62,102.14,101.55,98.41,98.17,98.07,92.9937
Region 8: Eastern Visayas,94.58,86.98,85.91,83.74,83.44,80.03,78.15,79.19,80.33,90.23,95.39,96.58,96.13,95.7,95.99,95.03,94.0,92.64,91.53,91.6,89.0772
Region 9: Zamboanga Peninsula,93.44,90.22,89.74,84.83,82.83,79.14,77.59,78.99,79.25,91.66,94.34,97.27,95.03,91.62,93.86,92.46,91.24,90.3,91.24,91.7,89.1941
