Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,22.39,18.89,20.3,26.11,25.73,31.69,28.92,30.52,33.24,28.1,38.0,37.05,33.26,31.03,24.32,27.26,26.05,25.18,30.22,31.07,31.543
CAR: Cordillera Administrative Region,66.14,54.08,52.05,55.02,53.87,50.96,52.74,50.71,51.74,58.0,57.03,61.47,63.61,65.3,65.74,70.56,72.37,74.31,79.4,80.81,81.866
CARAGA: CARAGA Administrative Region,52.75,42.71,44.07,44.21,43.87,43.29,43.64,44.24,47.05,50.51,53.03,51.01,52.52,55.05,56.37,64.41,65.5,69.5,76.74,78.54,81.5504
MIMAROPA: Southwestern Tagalog Region,,,52.24,52.36,52.17,50.96,53.11,54.07,54.69,50.97,54.54,55.97,57.63,59.18,59.69,67.49,68.1,70.72,75.79,77.19,76.7903
NCR: National Capital Region,78.57,61.7,72.57,74.02,73.67,72.65,72.89,78.1,79.4,73.69,76.04,76.27,77.04,77.91,74.61,79.52,78.7,80.22,85.04,86.06,81.5199
Region 10: Northern Mindanao,52.88,46.57,48.38,48.42,46.66,45.78,45.85,46.59,45.78,45.47,49.75,50.05,51.76,50.8,51.56,57.9,59.33,62.55,70.83,72.47,72.9159
Region 11: Davao Region,54.01,44.33,47.55,46.92,46.1,43.64,42.84,44.38,43.89,49.61,50.3,50.74,51.4,53.81,53.82,61.79,64.16,68.28,77.01,80.15,76.6309
Region 12: SOCCSKSARGEN,66.41,45.97,47.97,48.37,49.55,46.06,43.84,45.43,46.47,46.05,48.77,48.51,49.36,50.45,51.82,58.48,58.99,62.26,69.11,70.7,72.5433
Region 1: Ilocos Region,85.07,64.83,64.91,64.39,62.8,62.16,64.43,64.5,65.24,67.95,71.91,71.8,73.18,75.61,74.87,80.05,80.86,81.77,85.14,87.06,87.9661
Region 2: Cagayan Valley,73.31,54.5,54.37,56.2,54.86,53.38,53.55,54.63,53.56,61.41,64.07,64.89,65.56,67.49,66.87,72.12,73.82,75.91,80.78,84.75,90.0406
Region 3: Central Luzon,72.13,62.76,63.59,65.18,65.45,64.77,65.4,67.21,67.95,64.64,70.1,70.17,70.81,73.38,72.97,77.36,78.39,78.54,81.44,84.04,82.4587
Region 4A: CALABARZON,67.88,62.13,64.36,66.08,66.65,64.77,67.0,69.59,70.74,63.01,65.98,68.29,69.34,69.87,69.37,75.58,76.69,78.09,83.01,84.29,80.833
Region 5: Bicol Region,56.61,51.54,49.23,49.77,49.62,46.95,48.22,50.24,49.65,49.21,51.57,54.38,55.32,58.62,58.68,65.61,66.68,70.27,78.71,78.18,70.953
Region 6: Western Visayas,56.4,53.14,51.92,52.19,51.07,49.0,47.08,48.59,49.01,50.54,55.47,56.39,57.0,59.16,59.07,68.44,68.02,70.54,80.14,81.63,84.6275
Region 7: Central Visayas,60.61,51.08,52.2,52.89,52.03,48.94,48.26,48.62,50.13,50.37,55.2,54.77,57.65,61.44,60.81,69.02,69.9,71.91,82.27,83.37,80.7059
Region 8: Eastern Visayas,42.22,43.41,42.9,43.36,44.16,43.79,43.43,45.31,46.85,46.3,50.11,51.39,53.26,56.79,56.18,63.63,64.9,68.24,74.33,75.5,77.576
Region 9: Zamboanga Peninsula,57.11,40.13,44.79,44.04,45.13,42.16,42.74,45.22,44.4,43.62,45.36,45.21,45.46,46.55,46.69,55.14,55.73,59.49,68.79,69.13,70.346
