Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,24.59,22.05,27.04,32.58,31.1,39.49,36.16,38.59,42.57,37.3,51.13,51.64,46.55,45.08,36.58,39.8,38.09,35.62,41.36,41.96,42.8858
CAR: Cordillera Administrative Region,76.37,65.8,67.49,68.74,67.77,64.89,65.67,63.57,62.71,71.8,70.68,75.39,77.62,78.84,79.73,84.08,85.5,85.57,88.13,88.9,88.1383
CARAGA: CARAGA Administrative Region,60.71,56.73,55.64,55.41,55.62,53.91,54.3,53.18,55.24,60.51,63.67,63.22,65.7,67.86,68.8,76.29,76.97,79.83,84.84,85.99,87.2908
MIMAROPA: Southwestern Tagalog Region,,,63.04,64.7,63.63,61.38,64.8,64.67,64.83,61.94,65.67,67.66,69.78,71.09,71.89,79.5,79.26,81.04,83.95,85.31,84.9722
NCR: National Capital Region,79.5,73.86,77.94,78.77,79.06,77.28,77.3,82.18,82.15,79.74,83.2,83.41,85.14,85.54,83.49,88.99,88.33,89.56,92.64,93.47,88.9647
Region 10: Northern Mindanao,61.74,57.42,58.51,59.28,57.62,56.87,56.72,56.91,55.66,55.96,61.0,61.3,63.22,62.83,63.86,69.96,71.11,73.86,79.85,81.13,80.1995
Region 11: Davao Region,60.1,53.53,57.07,57.37,56.28,54.48,52.9,53.93,53.39,59.48,61.68,62.55,63.87,66.62,66.96,75.39,77.38,80.6,87.76,90.98,86.9362
Region 12: SOCCSKSARGEN,72.55,55.2,58.89,59.45,61.04,56.69,53.96,55.91,57.23,56.5,59.76,59.67,61.14,63.66,64.26,71.56,71.36,74.2,80.14,81.29,82.0809
Region 1: Ilocos Region,90.05,71.73,71.88,71.86,71.29,69.64,72.1,70.85,71.32,75.8,81.19,80.92,82.5,84.51,83.98,88.34,89.18,89.64,90.68,92.83,92.3834
Region 2: Cagayan Valley,81.11,65.09,64.97,67.36,66.71,64.95,64.42,64.55,63.36,72.81,75.51,76.51,77.5,78.74,78.46,83.5,84.53,86.24,89.01,93.13,97.0227
Region 3: Central Luzon,76.58,71.02,72.04,73.65,74.31,73.22,72.99,74.48,74.63,72.39,78.97,79.3,80.19,82.67,82.48,86.42,87.52,87.46,88.83,91.57,89.9462
Region 4A: CALABARZON,74.24,70.46,72.05,74.38,75.33,73.53,75.61,78.22,79.14,71.2,74.8,76.85,78.39,79.69,79.42,85.25,86.46,87.21,89.97,91.62,88.3569
Region 5: Bicol Region,67.88,59.8,60.81,61.76,62.36,59.88,60.77,62.01,61.13,61.07,64.44,67.74,68.22,71.41,71.25,78.37,79.33,81.86,87.51,86.59,79.4398
Region 6: Western Visayas,62.63,63.76,62.88,63.69,63.01,60.99,58.85,59.21,59.08,61.36,67.6,68.82,69.73,71.69,71.59,81.36,80.81,82.66,89.21,89.96,91.3535
Region 7: Central Visayas,74.84,60.3,62.5,63.97,62.86,60.69,59.56,60.63,60.96,63.46,68.09,67.94,70.8,75.26,75.2,83.37,83.73,85.53,93.34,93.97,90.4341
Region 8: Eastern Visayas,54.64,53.82,55.41,56.91,57.48,56.74,56.68,58.0,60.06,59.05,63.44,66.14,67.33,70.34,68.86,75.87,77.28,80.55,84.51,84.85,85.861
Region 9: Zamboanga Peninsula,62.4,47.79,53.7,54.6,55.83,52.2,52.67,55.15,54.18,54.02,56.96,56.74,58.14,59.48,60.0,68.75,69.02,71.71,79.2,79.54,79.4786
