Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,23.5,20.48,23.69,29.37,28.43,35.61,32.56,34.58,37.98,10.08,44.54,44.32,39.88,38.02,30.41,33.49,32.03,30.37,35.76,36.48,37.1877
CAR: Cordillera Administrative Region,71.19,59.84,59.64,61.76,60.71,57.81,59.1,57.04,57.14,64.76,63.7,68.27,70.43,71.87,72.5,77.08,78.72,79.77,83.64,84.76,84.9372
CARAGA: CARAGA Administrative Region,56.65,49.61,49.77,49.72,49.66,48.52,48.89,48.64,51.09,55.35,58.18,56.92,58.9,61.25,62.39,70.16,71.07,74.54,80.7,82.2,84.3796
MIMAROPA: Southwestern Tagalog Region,,,57.55,58.43,57.8,56.08,58.86,59.28,59.67,56.29,59.95,61.63,63.5,64.93,65.57,73.28,73.48,75.71,79.74,81.12,80.7633
NCR: National Capital Region,79.05,67.84,75.28,76.42,76.4,74.99,75.12,80.16,80.79,76.69,79.57,79.79,81.02,81.64,78.93,84.1,83.37,84.76,88.74,89.68,85.1646
Region 10: Northern Mindanao,57.26,51.92,53.4,53.8,52.08,51.27,51.23,51.7,50.67,50.61,55.24,55.55,57.35,56.67,57.55,63.77,65.08,68.09,75.27,76.75,76.5254
Region 11: Davao Region,57.05,48.9,52.28,52.11,51.16,49.02,47.84,49.12,48.61,54.47,55.87,56.52,57.49,60.04,60.2,68.37,70.57,74.27,82.25,85.44,81.6703
Region 12: SOCCSKSARGEN,69.48,50.56,53.38,53.86,55.24,51.33,48.85,50.62,51.8,51.22,54.15,53.97,55.11,56.88,57.87,64.82,65.0,68.08,74.49,75.89,77.2258
Region 1: Ilocos Region,87.51,68.21,68.33,68.05,66.96,65.83,68.19,67.62,68.22,71.77,76.4,76.19,77.67,79.89,79.24,84.02,84.85,85.56,87.81,89.85,90.1031
Region 2: Cagayan Valley,77.11,59.67,59.54,61.65,60.64,59.02,58.85,59.47,58.34,66.95,69.61,70.5,71.31,72.9,72.44,77.58,78.97,80.89,84.76,88.81,93.4367
Region 3: Central Luzon,74.32,66.82,67.74,69.35,69.81,68.93,69.13,70.78,71.24,68.41,74.4,74.59,75.34,77.86,77.54,81.71,82.78,82.84,85.01,87.69,86.0948
Region 4A: CALABARZON,71.03,66.24,68.16,70.19,70.94,69.1,71.26,73.86,74.89,67.03,70.28,72.46,73.74,74.64,74.23,80.25,81.41,82.51,86.38,87.85,84.4897
Region 5: Bicol Region,62.05,55.56,54.86,55.61,55.82,53.24,54.33,55.97,55.24,54.92,57.77,60.8,61.52,64.78,64.73,71.75,72.78,75.88,82.97,82.27,75.087
Region 6: Western Visayas,59.47,58.38,57.32,57.86,56.96,54.91,52.89,53.83,53.98,55.83,61.36,62.4,63.15,65.21,65.11,74.67,74.2,76.41,84.54,85.68,87.906
Region 7: Central Visayas,67.18,55.65,57.3,58.38,57.4,54.76,53.86,54.57,55.49,56.69,61.46,61.16,64.02,68.13,67.76,75.94,76.58,78.51,87.64,88.52,85.4465
Region 8: Eastern Visayas,48.21,48.48,48.99,49.96,50.64,50.09,49.88,51.49,53.28,52.45,56.55,58.48,60.03,63.32,62.3,69.55,70.89,74.21,79.27,80.05,81.609
Region 9: Zamboanga Peninsula,59.75,43.95,49.24,49.31,50.47,47.17,47.7,50.18,49.28,48.75,51.02,50.83,51.63,52.83,53.14,61.73,62.18,65.44,73.88,74.24,74.8405
