Geolocation,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,3.98,6.19,8.06,7.49,9.428
CAR: Cordillera Administrative Region,31.85,40.26,44.61,41.46,43.3977
CARAGA: CARAGA Administrative Region,22.25,31.67,37.76,34.27,38.816
MIMAROPA: Southwestern Tagalog Region,28.95,36.37,41.29,39.02,42.9974
NCR: National Capital Region,47.9,55.67,61.17,54.93,49.4413
Region 10: Northern Mindanao,22.33,29.78,34.42,31.02,33.5733
Region 11: Davao Region,23.54,31.09,37.99,33.81,35.3535
Region 12: SOCCSKSARGEN,21.02,29.22,34.83,30.88,33.2122
Region 1: Ilocos Region,44.4,53.26,57.48,54.5,58.7108
Region 2: Cagayan Valley,36.37,44.08,48.96,48.45,52.8585
Region 3: Central Luzon,42.01,49.75,54.46,51.62,53.02
Region 4A: CALABARZON,39.51,47.62,52.0,48.16,48.1915
Region 5: Bicol Region,22.19,32.16,37.74,34.35,35.2324
Region 6: Western Visayas,25.49,36.17,41.38,36.34,39.5905
Region 7: Central Visayas,27.91,37.99,43.97,39.12,40.75496
Region 8: Eastern Visayas,21.95,30.7,35.74,33.84,38.9889
Region 9: Zamboanga Peninsula,18.34,23.87,28.98,27.06,30.4406
