Geolocation,2016,2018,2020,2021
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,12.5,53.7,60.9,13.0
CAR: Cordillera Administrative Region,94.0,97.5,79.5,61.5
CARAGA: CARAGA Administrative Region,74.4,76.9,100.0,93.6
MIMAROPA: Southwestern Tagalog Region,82.0,100.0,100.0,100.0
NCR: National Capital Region,52.9,76.5,82.4,100.0
Region 10: Northern Mindanao,100.0,85.7,86.7,96.9
Region 11: Davao Region,100.0,100.0,88.9,100.0
Region 12: SOCCSKSARGEN,100.0,100.0,100.0,100.0
Region 1: Ilocos Region,44.8,100.0,74.4,76.7
Region 2: Cagayan Valley,100.0,100.0,49.0,55.1
Region 3: Central Luzon,59.0,99.3,100.0,100.0
Region 4A: CALABARZON,99.8,100.0,100.0,74.8
Region 5: Bicol Region,91.0,93.3,57.5,56.7
Region 6: Western Visayas,25.1,20.2,99.3,100.0
Region 7: Central Visayas,100.0,87.5,94.1,100.0
Region 8: Eastern Visayas,100.0,59.5,81.9,83.9
Region 9: Zamboanga Peninsula,100.0,45.3,94.6,96.0
