Geolocation,2016,2017,2018,2019,2020,2021
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,15.130509075450632,11.289118129179547,9.26620845431921,9.102096483686871,9.585697088147295,8.734968185278746
CAR: Cordillera Administrative Region,10.348514988099208,3.413518786016179,3.999526816545648,4.799425854730308,3.595653794963651,2.688291502968916
CARAGA: CARAGA Administrative Region,16.137067643618952,12.59286770045966,10.623787179540518,8.373080985320668,8.027288421925903,7.799532603124558
MIMAROPA: Southwestern Tagalog Region,7.284387130250829,5.309139388505123,5.203019561091367,4.114172431026218,3.779695413245124,3.362170168771603
NCR: National Capital Region,17.739571458483585,11.632285585803938,5.448314928360605,4.620971420612041,4.766507763757387,3.551425464135866
Region 10: Northern Mindanao,16.149133887043956,9.138650107405043,7.460380270911957,7.203013401841994,5.042803033096535,5.616247152710489
Region 11: Davao Region,16.18579032556791,14.658054333445778,10.58615315570691,8.867424517968148,6.860876729323671,6.627874980404949
Region 12: SOCCSKSARGEN,14.08736590493906,7.785532820807028,5.609723576684398,5.257375324436754,3.800862450243256,4.031386247316922
Region 1: Ilocos Region,11.031909008814496,6.278587559583212,4.441517763174411,3.540127827318305,2.921753727654987,2.785503262332486
Region 2: Cagayan Valley,9.188066847909155,7.40593543324581,5.838453619911082,4.613656035090307,3.198695588342641,2.761485614284353
Region 3: Central Luzon,9.704967247047025,6.153771259008462,3.72572162518164,3.502541903700914,2.444428238489788,2.517211533751372
Region 4A: CALABARZON,11.043512933323909,9.08832680323905,6.336361296856646,5.265941813058049,3.99195406400541,4.131749764853931
Region 5: Bicol Region,8.064076160340429,6.972841791777807,6.793264478269795,4.941201350990332,4.499631225875619,3.665473692233265
Region 6: Western Visayas,7.121843574618853,6.229894284286593,5.757417214909315,5.462051947432089,5.46496546002675,4.842827051730803
Region 7: Central Visayas,10.490490330576916,8.150959972103275,9.167184526515564,7.830797725274223,5.869012193721137,5.052905283973277
Region 8: Eastern Visayas,10.364791736636423,8.096341638409923,6.819387757532014,6.772489847140418,6.136215119254495,5.474870034287675
Region 9: Zamboanga Peninsula,15.90021440701489,9.774744929249527,9.101770683706755,7.671025922474161,5.895164933761346,6.194973671361897
