Geolocation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,0.4,0.4,0.4,0.2,0.1,0.2,0.4,0.3,0.3,0.6,0.6,0.6,0.6,0.5,0.9
CAR: Cordillera Administrative Region,1.9,1.8,1.9,2.0,1.9,2.0,2.1,2.0,2.0,2.1,2.0,2.1,2.2,2.5,2.1
CARAGA: CARAGA Administrative Region,2.1,2.0,2.1,2.2,2.2,2.3,2.2,2.3,2.3,2.4,2.3,2.2,2.3,2.5,2.4
MIMAROPA: Southwestern Tagalog Region,1.9,2.0,2.0,2.2,2.1,2.2,2.2,2.3,2.2,2.3,2.4,2.3,2.4,2.5,2.5
NCR: National Capital Region,3.1,3.2,3.2,3.2,3.3,3.3,3.2,3.3,3.4,3.4,3.2,3.1,3.1,3.1,3.1
Region 10: Northern Mindanao,1.9,1.9,2.0,2.3,2.3,2.2,2.4,2.4,2.2,2.5,2.7,2.5,2.6,2.7,2.7
Region 11: Davao Region,2.1,2.3,2.4,2.5,2.6,2.6,2.5,2.8,2.7,2.7,2.8,2.8,2.8,2.8,2.9
Region 12: SOCCSKSARGEN,1.7,1.7,1.9,1.9,1.9,2.0,2.1,2.4,2.2,2.3,2.4,2.3,2.3,2.3,2.5
Region 1: Ilocos Region,2.8,2.7,2.8,2.9,2.9,3.0,3.4,2.9,2.8,2.9,2.8,2.8,2.8,2.8,2.9
Region 2: Cagayan Valley,2.4,2.3,2.4,2.4,2.7,2.6,2.6,2.7,2.7,2.7,2.6,2.6,2.7,2.8,2.5
Region 3: Central Luzon,2.6,2.9,2.9,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.1,3.1,3.1,3.2,3.1
Region 4A: CALABARZON,2.7,2.8,2.7,2.9,3.0,3.0,2.9,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.2
Region 5: Bicol Region,3.0,3.1,3.0,3.2,3.3,3.3,3.3,3.2,3.4,3.4,3.4,3.5,3.3,3.5,3.4
Region 6: Western Visayas,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.3,2.5,2.5,2.6
Region 7: Central Visayas,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.7,2.9,2.8,2.7,2.7,2.8,2.8
Region 8: Eastern Visayas,2.1,2.2,2.1,2.2,2.1,2.2,2.3,2.2,2.3,2.3,2.1,2.1,2.2,2.2,2.4
Region 9: Zamboanga Peninsula,1.8,1.8,2.0,2.1,2.1,2.3,2.1,2.2,2.2,2.4,2.3,2.2,2.6,2.7,2.8
