Geolocation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,0.6,0.6,0.5,0.3,0.2,0.3,0.5,0.5,0.6,0.8,0.8,0.8,0.9,1.0,1.2
CAR: Cordillera Administrative Region,3.3,3.1,3.3,3.3,3.2,3.4,3.5,3.4,3.5,3.7,3.6,3.6,3.8,4.1,3.8
CARAGA: CARAGA Administrative Region,3.4,3.4,3.5,3.7,3.7,3.8,3.7,3.8,4.0,4.2,4.1,4.0,4.0,3.4,4.5
MIMAROPA: Southwestern Tagalog Region,3.5,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.9,3.9,4.2,3.9,4.1,4.3,4.2
NCR: National Capital Region,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.5,5.2,4.9,4.9,5.0,4.8
Region 10: Northern Mindanao,3.5,3.4,3.6,3.8,3.8,3.7,3.9,4.1,4.0,4.3,4.5,4.3,4.4,4.4,4.4
Region 11: Davao Region,3.6,3.8,4.0,4.2,4.4,4.4,4.2,4.5,4.6,4.7,4.7,4.7,4.6,4.8,4.8
Region 12: SOCCSKSARGEN,3.0,3.1,3.2,3.3,3.1,3.3,3.6,3.9,3.8,3.9,4.0,3.9,3.8,3.9,4.1
Region 1: Ilocos Region,4.9,4.8,5.0,5.0,5.1,5.1,5.1,5.0,5.1,5.1,5.0,4.9,4.9,4.9,4.9
Region 2: Cagayan Valley,4.0,3.9,4.0,4.1,4.3,4.2,4.2,4.4,4.4,4.5,4.4,4.3,4.5,4.7,4.3
Region 3: Central Luzon,4.8,5.0,5.0,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.3,5.2,5.2,5.3,5.2
Region 4A: CALABARZON,4.7,4.7,4.6,4.8,4.8,4.8,4.7,4.9,5.1,5.0,4.9,4.9,4.9,5.1,5.1
Region 7: Central Visayas,4.3,4.2,4.4,4.5,4.6,4.6,4.4,4.7,4.8,5.0,4.9,4.7,4.7,4.8,4.9
Region 8: Eastern Visayas,3.5,3.5,3.5,3.6,3.5,3.6,3.6,3.7,3.8,3.8,3.7,3.7,3.8,3.9,4.0
Region 9: Zamboanga Peninsula,3.0,3.0,3.2,3.4,3.4,3.8,3.3,3.7,3.7,3.9,4.0,3.9,4.2,4.5,4.5
