Geolocation,2003,2008,2013,2017
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,23.1,21.2,29.7,42.5
CAR: Cordillera Administrative Region,44.4,55.0,59.8,66.7
CARAGA: CARAGA Administrative Region,43.7,47.6,57.5,64.5
MIMAROPA: Southwestern Tagalog Region,48.5,48.5,55.1,61.7
NCR: National Capital Region,47.2,43.2,53.4,59.5
Region 10: Northern Mindanao,45.9,54.2,53.0,63.0
Region 11: Davao Region,53.6,59.5,55.1,64.7
Region 12: SOCCSKSARGEN,51.6,53.8,60.5,66.6
Region 1: Ilocos Region,49.6,49.7,50.8,59.5
Region 2: Cagayan Valley,68.8,62.6,69.1,74.1
Region 3: Central Luzon,54.2,54.0,60.4,56.8
Region 4A: CALABARZON,46.1,46.1,49.1,49.2
Region 5: Bicol Region,30.6,33.8,29.3,44.4
Region 6: Western Visayas,42.3,44.4,45.5,56.8
Region 7: Central Visayas,47.1,46.0,46.0,51.2
Region 8: Eastern Visayas,35.8,37.5,50.2,54.6
Region 9: Zamboanga Peninsula,46.9,40.3,53.0,56.8
