Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,24.35,33.06,52.32,29.21,33.35,34.56,37.24,44.8,40.24,41.33,41.7,24.72,28.61,41.78,36.58,40.07,68.95,55.4,79.14,77.16,66.80720348687325
CAR: Cordillera Administrative Region,65.93,63.85,83.19,79.12,77.39,73.23,80.98,76.76,81.19,83.98,75.98,84.77,82.69,85.53,90.1,89.11,96.11,93.96,98.76,97.17,95.5239772648218
CARAGA: CARAGA Administrative Region,61.06,72.58,75.96,73.64,68.11,74.62,71.17,78.61,77.55,73.8,77.64,73.2,79.94,86.06,90.02,87.86,94.44,94.02,98.17,96.38,94.41165400736128
MIMAROPA: Southwestern Tagalog Region,,,75.02,76.17,75.84,73.76,76.1,72.43,76.54,74.39,78.95,77.46,79.8,81.99,89.52,94.1,94.65,95.75,97.14,98.42,92.31964000705447
NCR: National Capital Region,66.58,75.66,87.65,87.28,85.51,85.01,91.3,89.37,87.46,83.11,86.54,85.9,83.77,81.3,77.56,84.88,87.43,96.05,100.0,95.7,71.64279840302743
Region 10: Northern Mindanao,66.08,67.06,71.14,73.15,65.31,66.53,72.11,73.93,74.66,71.95,71.9,70.28,68.47,77.99,86.48,89.07,95.11,93.78,96.68,96.74,85.7430952305051
Region 11: Davao Region,65.15,71.06,73.06,71.78,71.07,63.19,63.12,72.39,69.39,74.26,70.78,68.66,71.19,81.12,86.89,93.81,95.71,94.96,99.48,97.85,76.82570613861992
Region 12: SOCCSKSARGEN,43.23,52.27,66.56,69.69,68.05,64.93,67.68,71.39,72.15,68.71,68.42,69.17,71.49,78.73,96.17,87.75,89.32,93.87,97.47,98.09,88.84056946059462
Region 1: Ilocos Region,81.44,82.37,90.61,87.6,89.37,90.13,84.86,86.1,87.34,86.82,85.95,85.76,87.97,93.44,95.56,93.01,98.94,96.3,99.25,99.54,97.89334556804243
Region 2: Cagayan Valley,74.95,78.37,77.27,84.76,82.09,82.87,84.76,83.23,84.65,83.9,82.52,77.28,86.3,91.33,90.28,92.87,97.51,95.48,99.12,98.93,99.1308410037858
Region 3: Central Luzon,78.71,78.39,85.51,88.64,82.84,84.91,86.22,84.7,85.29,86.08,84.92,84.32,86.21,93.44,91.66,91.87,99.46,97.61,99.98,99.58,86.85542547734023
Region 4A: CALABARZON,71.98,83.74,82.09,81.49,83.1,82.26,86.13,84.62,86.07,89.33,87.54,89.05,89.72,76.27,94.24,91.05,99.74,99.62,100.0,99.82,80.60771823485791
Region 5: Bicol Region,66.91,74.13,81.31,77.94,80.78,78.18,78.46,79.29,79.32,79.37,80.04,80.18,81.85,89.02,89.38,88.72,97.36,95.38,98.66,97.72,80.21423338506219
Region 6: Western Visayas,63.94,62.46,63.02,75.08,75.98,74.38,78.15,78.95,78.94,79.39,77.87,80.84,84.53,89.64,92.65,92.98,97.62,97.05,98.81,98.13,95.1076520218155
Region 7: Central Visayas,73.5,74.61,86.24,78.44,80.2,77.39,84.2,84.91,84.68,83.3,82.85,86.83,87.45,90.3,90.33,93.69,96.5,95.04,100.0,98.07,85.07644296409859
Region 8: Eastern Visayas,62.39,67.98,71.93,76.53,77.8,65.11,71.1,75.76,78.32,75.79,77.73,72.18,79.34,85.78,88.32,92.06,97.05,95.87,96.94,96.79,96.7255849525635
Region 9: Zamboanga Peninsula,56.86,51.6,52.53,63.15,62.26,60.7,65.84,67.07,64.91,66.58,65.11,66.73,61.28,64.87,94.92,84.08,89.93,93.74,99.08,97.93,87.32174864075151
