Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,24.3,31.9,46.6,27.95,31.33,34.76,31.43,41.29,37.5,37.23,39.29,23.46,26.6,39.16,35.33,37.15,65.47,54.17,76.72,74.98,63.98043974848213
CAR: Cordillera Administrative Region,61.95,59.55,77.61,73.9,69.46,67.53,74.99,71.7,75.81,77.13,71.79,78.86,78.23,82.61,86.43,86.22,93.51,91.64,97.52,95.81,94.56
CARAGA: CARAGA Administrative Region,56.66,69.09,69.33,66.93,59.32,67.07,64.23,71.82,71.89,66.36,71.21,66.0,72.38,80.73,86.86,84.24,92.26,90.94,95.36,95.0,93.41611935808768
MIMAROPA: Southwestern Tagalog Region,,,69.19,70.42,68.81,67.17,70.04,68.06,71.64,69.38,72.92,72.38,74.17,78.06,86.88,90.21,92.05,93.17,94.8,96.65,90.55
NCR: National Capital Region,63.87,74.29,84.35,83.81,82.1,82.5,88.48,85.35,85.27,79.66,82.85,83.07,80.03,78.72,74.71,82.29,85.97,94.65,99.04,94.97,69.36
Region 10: Northern Mindanao,61.11,62.65,66.28,65.97,58.06,59.73,65.87,67.94,68.67,64.46,65.47,63.84,63.25,72.12,82.57,83.98,91.92,90.07,94.78,94.44,82.90732492745173
Region 11: Davao Region,60.19,67.55,68.51,64.66,62.47,56.59,57.22,65.49,62.72,66.97,63.7,61.62,64.52,75.51,83.34,88.84,92.22,92.11,96.65,95.29,73.48702482127726
Region 12: SOCCSKSARGEN,46.77,51.07,62.25,63.36,60.58,58.0,62.07,65.46,66.01,62.29,63.35,63.36,66.0,73.6,93.31,83.68,86.06,91.08,94.71,96.01,87.07055042287614
Region 1: Ilocos Region,78.73,79.7,86.74,84.46,85.49,85.48,81.64,82.71,84.83,83.09,82.8,82.39,85.21,91.14,94.54,91.5,97.41,95.45,98.1,98.97,97.32
Region 2: Cagayan Valley,70.75,74.07,72.6,78.63,75.5,76.4,78.49,78.06,80.45,78.25,77.47,73.08,82.02,87.88,87.06,89.0,95.01,93.59,97.56,97.51,98.56
Region 3: Central Luzon,75.06,74.63,81.14,83.25,78.48,80.16,82.16,80.68,81.35,81.87,80.22,80.32,82.59,90.8,88.93,89.14,98.05,96.02,99.13,98.67,86.62
Region 4A: CALABARZON,68.21,80.87,77.91,76.5,77.96,76.98,81.83,79.29,81.62,84.84,82.14,85.42,84.81,72.54,92.29,88.46,99.53,98.44,99.8,99.45,78.03
Region 5: Bicol Region,64.7,70.17,76.1,71.7,74.32,71.69,73.04,74.36,74.39,74.45,74.54,74.78,76.82,84.95,86.25,85.44,94.59,93.22,96.43,95.6,77.47
Region 6: Western Visayas,65.45,63.88,60.21,68.05,67.44,66.3,70.62,71.87,72.6,72.54,71.15,74.61,78.59,85.68,90.09,88.94,94.76,94.12,97.03,96.7,93.46
Region 7: Central Visayas,68.96,71.52,79.66,70.93,70.99,69.3,77.85,78.38,78.83,76.84,76.56,80.37,80.86,85.82,86.09,88.49,94.93,92.16,98.59,96.3,82.69
Region 8: Eastern Visayas,56.84,63.64,64.43,68.19,68.99,58.44,65.39,69.51,71.65,69.46,71.79,66.11,74.04,80.9,85.37,87.94,94.25,93.32,94.13,95.48,95.23336964130102
Region 9: Zamboanga Peninsula,51.01,48.56,47.47,56.41,54.02,53.8,58.6,60.14,58.77,59.84,58.72,59.93,55.49,60.78,92.86,79.7,85.75,89.73,97.02,94.94,84.45786746776032
