Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,58.65,66.32,71.5,56.66,44.01,54.81,37.81,66.85,55.35,67.63,61.8,59.86,54.05,58.74,50.29,65.03,79.87,62.1,93.6,88.24,77.45461912667983
CAR: Cordillera Administrative Region,73.34,64.15,68.1,78.38,80.76,71.43,89.65,82.36,89.2,72.33,81.12,89.73,85.51,82.86,83.43,77.25,86.53,87.13,93.18,87.61,91.15916145467932
CARAGA: CARAGA Administrative Region,63.28,64.64,82.23,68.53,76.28,63.23,74.48,75.54,76.48,63.41,74.86,73.82,74.36,77.19,79.65,73.82,79.99,84.98,89.55,86.66,92.7164629588721
MIMAROPA: Southwestern Tagalog Region,,,80.71,76.14,76.3,58.75,78.83,76.58,76.48,78.96,75.97,79.88,82.12,81.7,81.98,81.3,83.32,88.17,87.63,89.24,88.75949658193373
NCR: National Capital Region,72.18,71.91,82.07,78.9,83.25,69.86,74.0,86.03,84.87,80.78,81.46,84.48,82.12,80.4,81.74,77.77,84.49,94.05,96.13,90.32,77.58622638233132
Region 10: Northern Mindanao,72.22,71.26,82.56,67.23,67.08,63.02,71.56,76.16,75.4,70.92,83.55,71.38,77.86,73.15,81.62,77.24,84.84,83.68,90.18,85.8,86.76833981035054
Region 11: Davao Region,76.54,70.92,79.0,66.73,73.35,59.06,69.0,74.28,77.73,70.44,81.34,74.95,77.03,76.36,82.37,78.21,83.23,83.94,90.5,86.45,79.38337241701367
Region 12: SOCCSKSARGEN,65.8,65.49,81.58,71.63,82.67,54.59,58.99,74.69,72.6,76.64,75.63,74.29,75.83,79.32,85.49,76.37,77.54,83.21,86.12,86.88,86.15267309930043
Region 1: Ilocos Region,76.87,79.1,83.83,81.79,84.63,78.44,88.44,87.56,85.54,85.32,83.82,80.9,85.69,87.7,87.52,81.0,91.73,91.72,94.6,92.9,94.39209677157342
Region 2: Cagayan Valley,73.78,71.88,74.04,81.23,78.18,74.58,81.34,82.98,83.73,82.21,82.57,82.95,82.56,85.68,84.01,78.9,85.88,88.15,92.63,91.53,98.25947813136384
Region 3: Central Luzon,79.3,74.61,78.84,77.0,82.4,76.91,79.55,81.81,80.57,81.93,83.22,80.86,81.12,86.97,83.43,76.31,89.05,89.9,93.91,92.8,87.88574132298861
Region 4A: CALABARZON,77.75,79.64,83.0,84.23,80.65,75.75,86.24,86.81,86.93,88.81,85.55,89.15,87.3,83.36,85.3,84.92,93.09,93.77,96.35,92.92,85.64039854168522
Region 5: Bicol Region,71.02,72.05,82.82,75.39,75.63,61.3,76.04,77.81,78.2,78.27,80.49,78.57,78.93,81.7,82.52,76.05,82.6,87.85,92.07,87.72,74.01014068729856
Region 6: Western Visayas,63.34,72.48,80.59,82.13,80.02,69.35,76.96,80.78,81.94,80.69,80.17,81.98,81.48,83.32,86.64,80.45,87.77,89.28,92.38,89.82,95.18753729499988
Region 7: Central Visayas,73.15,73.28,82.56,77.04,75.77,62.58,76.31,80.34,78.52,78.9,80.72,82.47,80.84,85.11,81.96,80.6,84.46,88.8,95.51,89.02,83.41156832170549
Region 8: Eastern Visayas,66.44,67.38,67.31,73.5,76.28,59.36,72.75,72.61,74.56,72.87,74.24,74.16,75.69,79.47,73.71,75.88,80.94,84.49,87.76,86.8,93.42314037081384
Region 9: Zamboanga Peninsula,64.32,70.15,75.04,68.56,71.63,52.36,73.74,74.19,72.47,71.49,72.97,75.56,69.53,72.91,79.77,76.14,77.73,82.43,88.59,82.93,90.09627214735904
