Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,58.35,64.41,60.94,62.33,45.29,53.0,35.21,65.36,53.55,65.4,59.47,55.98,52.55,56.17,48.73,63.99,78.67,62.13,93.81,86.59,72.76109863685919
CAR: Cordillera Administrative Region,70.31,61.75,59.41,73.61,72.54,63.2,83.69,75.67,82.38,63.35,75.15,80.02,78.43,76.34,76.91,69.97,79.78,81.23,87.01,81.69,87.86047461554662
CARAGA: CARAGA Administrative Region,60.57,63.02,79.63,64.0,71.9,58.02,69.92,72.98,73.64,59.85,71.04,69.53,69.78,73.4,77.51,70.56,77.2,82.42,85.41,83.69,90.06976318070897
MIMAROPA: Southwestern Tagalog Region,,,76.83,72.25,71.2,52.76,73.22,72.59,72.56,73.13,70.4,72.82,76.63,76.75,77.44,76.6,78.7,83.89,83.17,85.19,84.39369684032266
NCR: National Capital Region,68.16,68.43,75.51,73.36,77.33,65.87,71.62,78.71,79.6,75.8,75.91,79.08,76.68,76.33,77.27,74.23,80.29,90.62,92.8,87.31,73.64527371864305
Region 10: Northern Mindanao,68.1,67.44,79.56,62.73,61.21,57.23,66.38,71.68,70.38,65.87,79.94,64.97,72.22,69.11,76.94,72.1,79.79,79.03,86.28,82.2,83.11686557286312
Region 11: Davao Region,73.33,68.53,73.08,61.38,68.81,51.38,64.75,70.45,72.57,68.78,72.96,68.63,72.22,71.89,79.76,73.44,78.87,80.17,84.85,81.51,74.90926268733105
Region 12: SOCCSKSARGEN,63.19,63.96,76.79,66.24,76.91,48.87,55.93,70.93,68.24,73.3,72.34,69.21,71.76,73.9,84.46,73.0,74.41,79.86,81.79,82.51,82.58061375099453
Region 1: Ilocos Region,73.38,75.35,79.29,75.53,77.81,72.09,84.19,82.34,81.21,80.39,78.78,75.02,80.27,82.48,83.57,76.44,86.57,87.82,90.89,89.12,91.96226052393231
Region 2: Cagayan Valley,72.2,69.4,69.95,76.66,73.01,68.82,77.19,78.96,79.76,77.96,79.07,77.84,77.6,81.99,79.35,73.68,81.46,83.81,88.52,87.7,95.80683587831814
Region 3: Central Luzon,75.19,70.72,72.88,71.3,76.57,70.26,74.57,76.58,76.29,76.14,77.76,75.21,76.0,82.98,79.23,72.44,84.85,85.96,90.41,89.7,84.01234849712648
Region 4A: CALABARZON,74.79,76.79,77.13,77.91,74.93,68.42,80.09,80.64,81.0,81.17,79.79,84.01,82.32,77.92,82.27,81.56,88.85,90.72,93.22,90.12,81.49789878312576
Region 5: Bicol Region,68.3,67.92,77.81,69.74,70.55,54.25,70.32,74.05,73.14,73.61,73.0,71.43,71.88,75.48,76.37,69.45,76.15,83.19,86.43,82.52,67.84886625240013
Region 6: Western Visayas,67.93,71.47,73.28,75.37,72.82,61.21,70.0,75.52,76.35,76.27,74.64,75.46,75.71,78.34,81.87,74.79,81.92,84.7,88.53,85.19,93.50669345700295
Region 7: Central Visayas,71.54,68.64,81.14,69.45,70.55,53.43,70.27,72.59,73.32,73.12,75.35,74.56,74.36,78.45,75.77,75.3,78.33,83.88,92.29,83.76,79.18644440770781
Region 8: Eastern Visayas,64.25,64.9,63.49,68.88,71.67,54.1,69.02,69.68,70.56,69.88,69.7,67.78,70.66,74.06,69.16,70.14,75.31,79.29,82.62,81.77,89.4398617982444
Region 9: Zamboanga Peninsula,62.65,67.71,73.22,62.14,66.29,46.82,70.95,69.44,68.74,69.72,68.29,70.01,64.56,67.75,77.2,70.65,72.42,78.16,82.52,77.27,87.12404365636907
