Geolocation,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,67.73,67.8,61.19456326945275
CAR: Cordillera Administrative Region,88.36,82.86,85.66875380275458
CARAGA: CARAGA Administrative Region,80.59,75.25,86.81056500487718
MIMAROPA: Southwestern Tagalog Region,74.48,75.79,78.93000650071251
NCR: National Capital Region,86.92,79.62,61.92332017202875
Region 10: Northern Mindanao,81.43,77.08,80.39951269150303
Region 11: Davao Region,83.33,76.7,63.8902451027064
Region 12: SOCCSKSARGEN,78.07,77.2,79.12070672428139
Region 1: Ilocos Region,86.38,84.22,88.05399920059904
Region 2: Cagayan Valley,86.12,84.19,94.49041923226925
Region 3: Central Luzon,84.95,79.89,77.75662475067074
Region 4A: CALABARZON,85.25,82.79,69.86953780806894
Region 5: Bicol Region,83.2,77.48,57.42852294447712
Region 6: Western Visayas,83.13,81.6,89.31104212684092
Region 7: Central Visayas,89.81,82.69,72.99751912699881
Region 8: Eastern Visayas,79.31,77.38,87.93789767316056
Region 9: Zamboanga Peninsula,78.92,73.36,80.71941127023224
