Geolocation,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,67.6,64.34,51.916326569164006
CAR: Cordillera Administrative Region,73.88,69.88,76.67328830956397
CARAGA: CARAGA Administrative Region,75.73,70.88,78.11609061257805
MIMAROPA: Southwestern Tagalog Region,66.95,68.38,67.10545907476546
NCR: National Capital Region,78.35,72.96,50.88189134422335
Region 10: Northern Mindanao,74.25,69.24,68.67070168947407
Region 11: Davao Region,73.64,67.46,53.643282789618006
Region 12: SOCCSKSARGEN,70.03,67.52,68.58686166470011
Region 1: Ilocos Region,80.25,77.13,81.02765715733106
Region 2: Cagayan Valley,78.47,77.44,86.23693235745421
Region 3: Central Luzon,78.57,74.44,66.70525168520189
Region 4A: CALABARZON,77.8,76.63,58.85425133112447
Region 5: Bicol Region,73.5,68.35,45.09884586598221
Region 6: Western Visayas,75.75,72.73,81.08519477110403
Region 7: Central Visayas,81.54,71.26,61.82018400766536
Region 8: Eastern Visayas,71.78,69.72,77.17285985547201
Region 9: Zamboanga Peninsula,71.25,63.18,73.14884431473332
