Geolocation,2016,2017,2018,2019,2020,2021
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,220.0,345.0,483.0,100.0,134.0,240.0
CAR: Cordillera Administrative Region,201.0,302.0,166.0,260.0,92.0,199.0
CARAGA: CARAGA Administrative Region,67.0,107.0,165.0,1034.0,64.0,149.0
MIMAROPA: Southwestern Tagalog Region,139.0,523.0,709.0,413.0,162.0,255.0
NCR: National Capital Region,610.0,1028.0,1280.0,1409.0,782.0,1985.0
Region 10: Northern Mindanao,585.0,607.0,658.0,905.0,224.0,378.0
Region 11: Davao Region,294.0,356.0,714.0,910.0,332.0,543.0
Region 12: SOCCSKSARGEN,216.0,596.0,493.0,338.0,144.0,153.0
Region 1: Ilocos Region,474.0,455.0,475.0,501.0,375.0,327.0
Region 2: Cagayan Valley,270.0,612.0,447.0,686.0,215.0,240.0
Region 3: Central Luzon,280.0,262.0,354.0,839.0,277.0,471.0
Region 4A: CALABARZON,833.0,1067.0,1440.0,817.0,177.0,647.0
Region 5: Bicol Region,467.0,940.0,543.0,571.0,292.0,339.0
Region 6: Western Visayas,357.0,997.0,598.0,317.0,111.0,426.0
Region 7: Central Visayas,441.0,965.0,667.0,769.0,267.0,532.0
Region 8: Eastern Visayas,708.0,1307.0,500.0,429.0,227.0,416.0
Region 9: Zamboanga Peninsula,356.0,690.0,426.0,557.0,148.0,446.0
