Geolocation,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,-4.940170715737835,10.950593387532765,3.308272760007696,6.299145532375277,3.591165366535336,3.759262353691398,2.957005164103848,-0.583999962862322,1.038273423532871,6.379147571312259,0.159354604663832,-0.25940375114773,1.605941970081304,3.209573594162094,-2.003764526910828,1.350676071927666,7.882984625553462,5.547680020299239,3.712420007435256,-3.881251524882487
CAR: Cordillera Administrative Region,1.900837601427852,2.604039785851668,3.268534490370612,3.487976861945526,0.056739697327444,2.068304836073878,5.577004787071061,2.103371763668704,0.737190880077137,4.611006446855598,-0.81843138801456,-1.010773980459504,5.453842621358064,3.919263977685048,3.104854953785093,1.624092370534342,8.263995581124206,4.611165931726461,3.393799567350953,-10.6822300602702
CARAGA: CARAGA Administrative Region,3.153920360133398,4.190756101803103,3.108799690824625,4.253532641672521,2.932371991801702,5.023460617428583,4.936549105559891,1.356064327768024,0.574673185580551,8.931179381321769,5.613559563605548,8.967250040076664,8.030594099555714,7.556260594447536,5.351013984484609,4.814408537262224,4.750191961652888,3.918379024844711,4.205377363132627,-8.23756351080685
MIMAROPA: Southwestern Tagalog Region,1.664022274615974,12.48029067157539,7.750967760265809,1.830638282937698,7.306973440180343,2.09091987300711,7.619860406054471,3.256204673002799,2.902971603728361,-0.760644698567219,2.300266510700183,3.830572640270319,2.722556931008825,8.496021495115528,3.320929455932117,3.334895580526293,4.76664998852678,7.052686123053491,2.957077423179186,-8.745932208811723
NCR: National Capital Region,0.841127816911595,-0.916195185914262,2.756815147792864,6.355850767629391,3.310895022436384,3.80995085282092,4.989651882035574,2.771026072994303,-1.718412443869084,4.58724612183083,0.705668145736411,4.555136363206344,4.912505744314771,3.842172290162552,4.685638782653996,5.511499901063274,4.014293029797472,4.087414314331639,5.634448060763347,-11.200475647115397
Region 10: Northern Mindanao,4.426710979482039,7.661506825756675,4.320206558093375,6.038860137285965,3.281551352598825,4.663455769090149,5.32962886093344,3.540598894554776,1.44142033759293,4.32248497961551,4.141792672661012,5.523041169915885,4.177663836025729,6.803178171087708,4.134850589379767,6.236030535286744,4.425701551381508,5.671174885653556,4.2811620531823,-6.32274577538287
Region 11: Davao Region,0.404518686162476,3.313226345051305,4.934068243413975,4.306681280959239,2.158022366361763,2.67816617672861,4.16899742651546,1.96754601504719,3.01997426705232,4.696809340549095,2.08255743797767,5.236435966192062,4.368361314252226,7.226857119365988,6.197743999558142,7.452082722023888,7.052769635041884,5.490501473560471,5.406954922039048,-9.046379023361382
Region 12: SOCCSKSARGEN,-1.545401886379722,7.457846651260553,3.924474114620025,3.350673255897348,-0.214253017044854,4.09643438012705,4.232484028420998,2.727850332779354,-0.11452381565303,1.456346510724657,2.883810750675693,5.970213505852399,7.047952654670794,4.275849757719001,1.690531185981214,2.622671086418208,6.045531295217543,5.236694968480293,1.944145654066048,-5.555508858458907
Region 1: Ilocos Region,0.811588746497065,1.70488357496923,3.183009525362081,3.889662889233293,3.362598791504823,4.594092497093172,4.671400811903553,1.774523209970553,-1.263560033872977,7.426453497815501,2.760202374136639,4.129049698372072,7.382396861118679,5.465228303762302,4.289071541136906,6.91962854897082,4.49728745087539,4.914166629235339,6.305167849348138,-8.477175571996838
Region 2: Cagayan Valley,2.147953491305785,0.089251531036893,1.132812486378882,7.426633218736271,-3.238955699387105,8.370661785283744,5.103214067393765,1.083638592714408,0.835889747085773,2.72351075542818,5.009277059783429,5.620296771017408,7.554133581939723,7.074621900477695,2.846141682562987,3.468013471900917,6.478262651813864,3.337775122695803,5.689419284241978,-10.815141416595267
