Region,Region Number,Region Name,Description
Region 1: Ilocos Region,I,Ilocos Region,"Ilocos is a region situated in the Philippines, located along the northwestern coast of Luzon island."
Region 1: Ilocos Region,,,"The region is renowned for its historic sites, beautiful beaches, and the well-preserved Spanish colonial city of Vigan."
Region 1: Ilocos Region,,,"Vigan's Mestizo district, dating back to the 16th century, is characterized by charming cobblestone streets and mansions adorned with wrought-iron balconies."
Region 1: Ilocos Region,,,"Towards the northern part of Ilocos, Laoag City serves as a gateway to the vast La Paz Sand Dunes."
Region 1: Ilocos Region,,,Ilocos offers a rich cultural experience and showcases its heritage through its architectural wonders.
Region 1: Ilocos Region,,,The region's scenic landscapes and historical significance make it a popular destination for travelers.
Region 2: Cagayan Valley,II,Cagayan Valley,"Cagayan Valley, an administrative region in the Philippines, lies in the northeastern section of Luzon Island.
"
Region 2: Cagayan Valley,,,"It comprises five Philippine provinces: Batanes, Cagayan, Isabela, Nueva Vizcaya, and Quirino."
Region 2: Cagayan Valley,,,"The region hosts four chartered cities: Cauayan, Ilagan, Santiago, and Tuguegarao."
Region 2: Cagayan Valley,,,Most of its land area is located in the valley between the Cordilleras and the Sierra Madre mountain ranges.
Region 2: Cagayan Valley,,,"The region is traversed by the Cagayan River, the country's largest and longest, flowing from the Caraballo Mountains to Aparri."
Region 2: Cagayan Valley,,,"Cagayan Valley is the second largest Philippine administrative region by land area, and boasts a high functional literacy rate of 97.2% according to a 2013 survey."
Region 3: Central Luzon,III,Central Luzon,"Central Luzon, also known as Region III, is an administrative region in the Philippines."
Region 3: Central Luzon,,,It organizes the 7 provinces in the vast central plains of Luzon for administrative convenience.
Region 3: Central Luzon,,,"The region is renowned as the ""Rice Granary of the Philippines"" since it produces the majority of the country's rice supply."
Region 3: Central Luzon,,,"Its provinces include Aurora, Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, and Zambales."
Region 3: Central Luzon,,,Pangasinan was once part of Central Luzon but was incorporated into the Ilocos Region.
Region 3: Central Luzon,,,Aurora was previously part of Southern Tagalog and was transferred to Central Luzon in 2002. 
Region 4A: CALABARZON,IV-A,CALABARZON,"CALABARZON (Region IV-A) is an admin region in the Philippines, with 5 provinces and 1 city."
Region 4A: CALABARZON,,,"Most populous region, with over 16.1 million inhabitants in 2020, after NCR.
"
Region 4A: CALABARZON,,,"Situated southeast of Metro Manila, bordered by Manila Bay, Lamon Bay, Tayabas Bay, and Central Luzon."
Region 4A: CALABARZON,,,Home to attractions like Mount Makiling and Taal Volcano.
Region 4A: CALABARZON,,,Previously part of Southern Tagalog before becoming a separate region in 2002.
Region 4A: CALABARZON,,,"Notable places: Mount Makiling near Los Baños, Laguna, and Taal Volcano in Batangas."
MIMAROPA: Southwestern Tagalog Region,MIMAROPA,MIMAROPA Region,"MIMAROPA, officially the Southwestern Tagalog Region, is an administrative region in the Philippines.
"
MIMAROPA: Southwestern Tagalog Region,,,"It consists of five provinces: Occidental Mindoro, Oriental Mindoro, Marinduque, Romblon, and Palawan."
MIMAROPA: Southwestern Tagalog Region,,,"Unlike most regions, MIMAROPA has no land border with another region, similar to Eastern Visayas."
MIMAROPA: Southwestern Tagalog Region,,,"Previously part of Southern Tagalog, it became a separate region on May 17, 2002."
MIMAROPA: Southwestern Tagalog Region,,,"On May 23, 2005, Palawan and Puerto Princesa were moved to Western Visayas but later put on hold pending review."
MIMAROPA: Southwestern Tagalog Region,,,"On July 17, 2016, Republic Act No. 10879 formally established the Southwestern Tagalog Region as MIMAROPA, discontinuing the Region IV-B designation with no boundary changes."
Region 5: Bicol Region,V,Bicol Region,"Bicol Region, also known as Bicolandia, is an administrative region in the Philippines (Region V)."
Region 5: Bicol Region,,,"It comprises six provinces: Albay, Camarines Norte, Camarines Sur, Sorsogon, Catanduanes, and Masbate."
Region 5: Bicol Region,,,"The regional center is Legazpi, with one independent component city, Naga."
Region 5: Bicol Region,,,"Bounded by Lamon Bay to the north, the Philippine Sea to the east, and Sibuyan Sea and Ragay Gulf to the west."
