Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases
PHILIPPINES,2000,,96.77,97.28,96.27,66.06,69.49,62.72,,,,,,,,,,,,62.72,65.53,60.05,70.07,72.29,67.66,,,,,,,,,,,,
PHILIPPINES,2001,,90.1,90.91,89.33,57.55,62.24,52.96,,,,,,,,,,,,68.18,70.7,65.78,69.97,72.94,66.72,,,,,,1.0079144176033026,,,,,,
PHILIPPINES,2002,,90.29,91.1,89.51,59.0,63.72,54.39,,,,,,,,,,,,71.55,76.32,67.23,74.81,79.98,69.5,,,,,,1.691457854710876,,,,,,
PHILIPPINES,2003,,88.74,89.68,87.84,60.15,65.07,55.34,,,,,,,,,,46.7,53.0,70.24,75.63,65.42,71.67,77.2,66.03,,,,,,3.06452599927394,,,,,,
PHILIPPINES,2004,,87.11,88.08,86.17,59.97,65.01,55.04,,,,,,,,,,,,69.06,75.2,63.63,72.38,77.8,66.87,,,,,,4.541527176741056,,,,,,
PHILIPPINES,2005,,84.44,85.35,83.56,58.54,63.53,53.65,,,,,,,,,,,,68.11,73.46,63.29,61.66,68.14,55.06,,,,,,2.9785515939991143,,,,,,
PHILIPPINES,2006,,83.22,84.08,82.39,58.59,63.44,53.85,,,,,4.2,2.4,1.0,0.4,0.3,,,71.72,76.7,67.28,72.14,76.96,67.17,,,,,,3.372089075537985,,,,,,
PHILIPPINES,2007,,84.93,85.83,84.07,60.21,64.87,55.65,,,,,4.2,2.5,1.0,0.4,0.3,,,73.06,78.29,68.37,75.37,80.47,70.15,,,,,,4.57888445644312,,,,,,
PHILIPPINES,2008,,85.11,85.7,84.55,60.74,65.18,56.39,,,,,4.3,2.5,1.0,0.5,0.3,46.8,54.0,73.28,77.89,69.13,75.24,79.94,70.44,,,,,,2.463484297148355,,,,,,
PHILIPPINES,2009,,89.48,90.77,88.26,59.89,64.82,55.16,,,,,4.4,2.6,1.0,0.4,0.3,,,72.18,77.54,67.44,73.55,78.25,68.83,,,,,99.39,-0.3520272859113333,,,,,,
PHILIPPINES,2010,,95.92,97.47,94.46,64.3,69.76,59.11,,,,,4.4,2.7,1.0,0.4,0.3,,,72.11,77.14,67.65,75.06,80.27,69.88,,,,,99.89,5.453808141858346,,,,,,
PHILIPPINES,2011,,98.04,99.33,96.84,65.14,70.75,59.82,,,,,4.4,2.7,1.0,0.4,0.3,,,71.01,75.7,66.83,74.4,80.3,68.61,,,,,70.18081236272779,2.061136379092005,,,,,,
PHILIPPINES,2012,,97.29,98.11,96.53,66.17,71.92,60.74,,,,,4.4,2.7,1.0,0.4,0.3,,,72.66,77.17,68.62,74.64,79.74,69.6,,,,,76.6945712437693,5.065050214902072,,,,,,
PHILIPPINES,2013,,97.2,97.68,96.74,67.89,73.69,62.42,,,,,4.5,2.7,1.0,0.5,0.3,51.8,57.0,77.67,81.33,74.38,76.25,81.01,71.57,,,,,79.85346601580922,4.948184649854653,,,,,,
